# PD and PA using xStokesAnalysis class from ixpeobssim. Seems much closer to xpqlt. Suspect only deviation is from not background subtracting,
# but on average that should not affect the PA really. Just decrease the PD. Also technically is using the same mod and effective area for all 3 detectors,
# but for our purposes it shouldn't really change much at all.
obs,PD,dPD,PA,dPA
smc_x-1/02007201,0.04458111418843666,0.013166519536012326,77.30679052814124,8.461414317609531
smc_x-1/02007101,0.02399065376072488,0.011505671566959917,85.42435357970926,13.739506470728795
smc_x-1/02007001,0.025161975062680718,0.011316794794039436,-69.72080826543663,12.884894014896526
lmc_x-1/02001901,0.013184604747999306,0.00480789698580736,50.74129998984698,10.44678135702918
xte_j1701-462/01250601,0.046264047305629497,0.003622076646726393,-38.197966510959226,2.2430270662021194
xte_j1701-462/01250701,0.00768228333272305,0.0033250504364556134,-62.48230724455517,12.399417607179481
gx_3+1/03004101,0.009259399035266616,0.004729653220039822,-20.823148925563146,14.633232528778343
4u_1626-67/01002701,0.015750990683152978,0.01226341920655961,23.294093673550233,22.30491120254069
gx_9+1/03003801,0.011500234415762178,0.006007165870573707,6.710661641879918,14.964332114389714
gx_5-1/02002799,0.029756707415853293,0.0020378717191912757,-10.333958231263653,1.9619892283056612
swift_j1727/02251301,0.033774395710365605,0.003295343835347817,-1.8848138889450148,2.7952637812452314
swift_j1727/02250901,0.047223869483368285,0.0028653311935064926,2.52954583685365,1.7383758146000392
swift_j1727/03005801,0.029335522356843925,0.006512972293433202,6.577501304952425,6.360463277361936
swift_j1727/02251001,0.044102367063925396,0.0020996893481203534,3.165762272774682,1.3640079656427144
swift_j1727/02251201,0.03728787593562332,0.003018600546177262,-0.5668702641964342,2.319271884054271
swift_j1727/03005701,0.010620553300886494,0.004618401812356019,1.171538196923955,12.457701105643688
swift_j1727/02251101,0.04505127228442524,0.0029475577267073063,0.6965991708602736,1.8744746258007636
swift_j1727/03006001,0.0041376258466232045,0.003906731807980733,19.70202934405151,27.04924364587746
cyg_x-2/01006601,0.019948929979651246,0.00425036748863951,-47.76483608610925,6.103862161576775
cyg_x-2/01001601,0.01639790655642838,0.00293232876748715,-42.85986773888381,5.122953088547692
4u_1728-34/03003701,0.015975240726217328,0.007200098153975484,-17.138187364090467,12.911821112093582
x_persei/01001799,0.017052416642408284,0.010035884799500574,22.52867410318605,16.860354233119295
cyg_x-1/02008601,0.020754927901567292,0.002360277299435767,-35.19795176275438,3.2579031645837935
cyg_x-1/02008301,0.024455607063756147,0.003027400724994978,-23.46652641950837,3.546413917094554
cyg_x-1/03002201,0.03938189347364198,0.0048974244358887045,-26.472533067021367,3.562728038401086
cyg_x-1/02008201,0.024183138550142855,0.004123914620884922,-16.972713453777914,4.885340948848041
cyg_x-1/02008501,0.013269568194798092,0.002907778463449151,-24.475950478910708,6.277671854348694
cyg_x-1/02008401,0.02030996197655205,0.002926503709058937,-24.313432303587646,4.127962079203814
cyg_x-1/03010001,0.04668495689695994,0.004794338175188398,-26.77398597815446,2.942192499610808
cyg_x-1/01002901,0.037454203521489204,0.0020474839578526736,-20.893759272261114,1.566143952068227
cyg_x-1/03003101,0.03199115650835116,0.00499716480984515,-17.93454659148242,4.475058088236092
cyg_x-1/01250101,0.03850924748881346,0.00330329417376135,-26.110291420669647,2.4574966813865213
cyg_x-1/03010101,0.04701366658094677,0.005510325817059139,-33.35749322138696,3.357943525661103
4u_1624-49/02007301,0.0215842272219648,0.006848001809925965,82.33485090058343,9.089246486833703
4u_1957+115/02006601,0.013850031924579821,0.004168213830804637,-44.50692817248967,8.621724039195888
gx_9+9/01002401,0.015841839793211934,0.004055662391497026,61.120741117187045,7.334183883748017
4u_1630-47/01250401,0.08141467324210733,0.0017099474188548814,17.717720142145083,0.6018318553919653
4u_1630-47/02250601,0.0671223156869136,0.002118369335305142,21.545433874087678,0.9042776533225687
ls_v+44_17/02250501,0.05171692736148678,0.0020815127657488656,-58.899103903691106,1.1531367262715044
ls_v+44_17/02250401,0.041692133076149614,0.0030750235022668523,81.61164042683417,2.1130673254196557
gro_j1008-57/02003601,0.03748674809778197,0.011281894713316611,-9.37811615432151,8.62223411201833
gro_j1008-57/02003501,0.04331308698335832,0.009302045328048833,-4.624364357429586,6.152934587449087
lmc_x-3/02006599,0.027900477963038198,0.004679480372042901,-40.742898141992455,4.804928930228311
cen_x-3/01006501,0.034163918001127766,0.023272005452066546,70.84484113010463,19.515633012544377
cen_x-3/01250201,0.05198229313679466,0.003908023378647253,45.30660379012657,2.153947719155873
gx_340+0/03003301,0.03854392494615142,0.0035944186835801546,36.352349710879665,2.6717083575730296
gx_340+0/03009901,0.014250474590923273,0.0023027197989466093,34.21348785892706,4.6292171178116375
gx_349+2/03003601,0.011626427797332107,0.0024844067752258082,31.529149099078722,6.121681454190045
4u_1538-52/03002701,0.022501390105496264,0.018914661065027743,0.6147325348563283,24.081861349537114
4u_1538-52/03002801,0.02897527970600308,0.02226655712879776,16.794636581916297,22.015652230966094
cir_x-1/02002699,0.009808444954738576,0.0020672786915524855,17.659471433634522,6.037995938946279
cyg_x-3/02001899,0.1920815021742208,0.0030965389699001687,-89.83072655259797,0.46250845950247044
cyg_x-3/02250301,0.10422031193322621,0.002777901100468483,-87.5555179717116,0.7638781244667869
cyg_x-3/02009101,0.1994177710275294,0.004044171626337314,-88.19417574829514,0.5818729943725688
cyg_x-3/03250301,0.1187173163755366,0.004230453302318956,-85.11333235650906,1.0213265599658754
vela_x-1/01002501,0.024355695964261053,0.00749433321029789,-55.73652496492982,8.815305584109254
vela_x-1/02005801,0.034601708832900396,0.006667194951024919,-49.47472748394412,5.5202840400682796
gx_301-2/01002601,0.008226786887811042,0.006674374528972006,-22.3167249050074,23.242051660647494
mcg-5-23-16/01003399,0.008710720216376705,0.009687117274154802,-39.040846050806884,31.85917436589416
mcg-5-23-16/02003299,0.011403806135737275,0.00986468963248066,-2.651907114654014,24.781550072308182
4u_1735-44/03004001,0.018356866374292177,0.006816088626396319,-25.780740565765694,10.637348502508665
sco_x-1/02002401,0.010838751631579647,0.001670427404930843,10.936800723534757,4.415124654543363
swift_j151857/03250201,4.4443669864606704e-05,0.0024285640836549122,-34.70409262592282,1565.425095426202
gx_339-4/03005101,0.002403791070994826,0.0023257703549263843,-39.20322516402661,27.71805801997014
gx_339-4/03005301,0.0038188646907246046,0.003730036965146236,-33.50118882870549,27.98153970399502
v395_car/03001201,0.026205501474435035,0.017131414652077202,-18.709045405461374,18.728588605711302
srga_j144459/03250101,0.02277666053419701,0.004316215090094597,60.72237336643015,5.428907580456514
exo_2030+375/02250201,0.005114661311668569,0.004845353960311549,42.087843213846085,27.13948866182929
ser_x-1/03003901,0.009515150180067895,0.005977704334026988,-35.07155926189082,17.997513459741988
swift_j0234/02250799,0.02197117592755377,0.0019957388181625134,8.23349704582537,2.6022541674167785
gx_13+1/03001101,0.027475808561464095,0.0037792140188372455,22.926665095747705,3.9405216116693387
gx_13+1/02006801,0.010663188021736505,0.0032312220520077837,-4.441148749048668,8.681082712053165
gx_13+1/03003401,0.014231341793703292,0.003319991307320257,-15.95642638022447,6.6832301355505495
gs_1826-238/01002801,0.004193623531755026,0.003832710054915653,37.87829632102235,26.182395900172864
her_x-1/01001899,0.061193156675781776,0.00619828814612175,60.06954450869095,2.9021792066821686
her_x-1/02003901,0.14425837335930128,0.013286285320070266,40.63562221415228,2.640525748139531
her_x-1/02004001,0.080053086470787,0.006189862763651539,47.85708872564787,2.215608621738522
her_x-1/02003801,0.09957985732737204,0.01657769770442139,37.935415467873256,4.7710991620964345
her_x-1/02004101,0.09269159665778731,0.006342903764687011,50.49717953016349,1.9609650269433059
4u_1820-303/02002399,0.006270694902444791,0.003256437382914157,-58.07409572212238,14.87716453997326
